account_nox|company_nam|governmentid|country_codes|address_line1|address_line2|city_nme|state_cdx|post_code1|invoice_number|invoice_dte|due_dte|invoice_amnt|paid_amounts|paid_dates|payment_terms|currency|as_of_dt
ACCT-10001|BlueRiver Foods|TAX200001|AU|101 Market St|Suite 11|Miami|CA|70001|INV-20250001|2025-01-04|2025-02-03|517.35|507.35|2025-01-24|Net 45|EUR|2025-07-02
ACCT-10002|BlueRiver Foods|TAX200002|DE|102 Market St|Suite 12|Chicago|FL|70002|INV-20250002|2025-01-07|2025-02-06|534.70|514.70|2025-01-27|EOM 30|GBP|2025-07-03
ACCT-10003|Granite Works|TAX200003|GB|103 Market St|Suite 13|Atlanta|GA|70003|INV-20250003|2025-01-10|2025-02-09|552.05|522.05|2025-01-30|EOM 30|INR|2025-07-04
ACCT-10004|BlueRiver Foods|TAX200004|GB|104 Market St|Suite 14|Austin|CA|70004|INV-20250004|2025-01-13|2025-02-12|569.40|569.40|2025-02-02|Net 60|EUR|2025-07-05
ACCT-10005|Crestline Pharma|TAX200005|US|105 Market St|Suite 15|Boston|CA|70005|INV-20250005|2025-01-16|2025-02-15|586.75|576.75|2025-02-05|Net 30|INR|2025-07-06
ACCT-10006|BlueRiver Foods|TAX200006|DE|106 Market St|Suite 16|Atlanta|MA|70006|INV-20250006|2025-01-19|2025-02-18|604.10|584.10|2025-02-08|Net 30|USD|2025-07-07
ACCT-10007|Ionis Manufacturing|TAX200007|NL|107 Market St|Suite 17|Austin|GA|70007|INV-20250007|2025-01-22|2025-02-21|621.45|591.45|2025-02-11|Net 45|AUD|2025-07-08
ACCT-10008|Futura Electronics|TAX200008|GB|108 Market St|Suite 18|Chicago|IL|70008|INV-20250008|2025-01-25|2025-02-24|638.80|638.80|2025-02-14|Net 30|SGD|2025-07-09
ACCT-10009|EverPeak Logistics|TAX200009|NL|109 Market St|Suite 19|Dallas|IL|70009|INV-20250009|2025-01-28|2025-02-27|656.15|646.15|2025-02-17|EOM 30|INR|2025-07-10
ACCT-10010|EverPeak Logistics|TAX200010|DE|110 Market St|Suite 20|Dallas|GA|70010|INV-20250010|2025-01-31|2025-03-02|673.50|653.50|2025-02-20|Net 60|USD|2025-07-11
ACCT-10011|Crestline Pharma|TAX200011|GB|111 Market St|Suite 21|Dallas|CA|70011|INV-20250011|2025-02-03|2025-02-01|690.85|660.85|2025-02-23|Net 30|USD|2025-07-12
ACCT-10012|Delta Retail Group|TAX200012|AU|112 Market St|Suite 22|Dallas|GA|70012|INV-20250012|2025-02-06|2025-03-08|708.20|708.20|2025-02-26|Net 30|AUD|2025-07-13
ACCT-10013|Granite Works|TAX200013|DE|113 Market St|Suite 23|Dallas|CA|70013|INV-20250013|2025-02-09|2025-03-11|725.55|775.55|2025-03-01|Net 60|SGD|2025-07-14
ACCT-10014|BlueRiver Foods|TAX200014|IN|114 Market St|Suite 24|Denver|CO|70014|INV-20250014|2025-02-12|2025-03-14|742.90|722.90|2025-03-04|Net 45|AUD|2025-07-15
