acct_no	customer_name	tax_id	cntry	addr1	addr_2	town	province	zip_code	inv_no	issue_date	payment_due_date	total_amount	amount_paid	settlement_date	terms_of_payment	curr_code	reporting_date
ACCT-10001	Juniper Auto Parts	TAX200001	GB	101 Market St	Suite 11	Atlanta	WA	70001	INV-20250001	2025-01-04	2025-02-03	517.35	507.35	2025-01-24	Net 60	GBP	2025-07-02
ACCT-10002	Delta Retail Group	TAX200002	FR	102 Market St	Suite 12	Dallas	CA	70002	INV-20250002	2025-01-07	2025-02-06	534.70	514.70	2025-01-27	EOM 30	AUD	2025-07-03
ACCT-10003	EverPeak Logistics	TAX200003	SG	103 Market St	Suite 13	Seattle	CO	70003	INV-20250003	2025-01-10	2025-02-09	552.05	522.05	2025-01-30	Net 60	AUD	2025-07-04
ACCT-10004	Juniper Auto Parts	TAX200004	US	104 Market St	Suite 14	Austin	IL	70004	INV-20250004	2025-01-13	2025-02-12	569.40	569.40	2025-02-02	Net 45	INR	2025-07-05
ACCT-10005	Crestline Pharma	TAX200005	NL	105 Market St	Suite 15	Chicago	GA	70005	INV-20250005	2025-01-16	2025-02-15	586.75	576.75	2025-02-05	Net 60	SGD	2025-07-06
ACCT-10006	Granite Works	TAX200006	US	106 Market St	Suite 16	Chicago	IL	70006	INV-20250006	2025-01-19	2025-02-18	604.10	584.10	2025-02-08	Net 30	SGD	2025-07-07
ACCT-10007	Delta Retail Group	TAX200007	FR	107 Market St	Suite 17	Austin	TX	70007	INV-20250007	2025-01-22	2025-02-21	621.45	591.45	2025-02-11	Net 30	SGD	2025-07-08
ACCT-10008	BlueRiver Foods	TAX200008	NL	108 Market St	Suite 18	Miami	FL	70008	INV-20250008	2025-01-25	2025-02-24	638.80	638.80	2025-02-14	Net 45	SGD	2025-07-09
ACCT-10009	Crestline Pharma	TAX200009	DE	109 Market St	Suite 19	Denver	CA	70009	INV-20250009	2025-01-28	2025-02-27	656.15	646.15	2025-02-17	EOM 30	INR	2025-07-10
ACCT-10010	Juniper Auto Parts	TAX200010	GB	110 Market St	Suite 20	Chicago	IL	70010	INV-20250010	2025-01-31	2025-03-02	673.50	653.50	2025-02-20	Net 30	INR	2025-07-11
ACCT-10011	Horizon Textiles	TAX200011	DE	111 Market St	Suite 21	Miami	IL	70011	INV-20250011	2025-02-03	2025-02-01	690.85	660.85	2025-02-23	Net 45	EUR	2025-07-12
ACCT-10012	Apex Metals Ltd	TAX200012	AU	112 Market St	Suite 22	Boston	GA	70012	INV-20250012	2025-02-06	2025-03-08	708.20	708.20	2025-02-26	Net 60	GBP	2025-07-13
ACCT-10013	Futura Electronics	TAX200013	GB	113 Market St	Suite 23	Chicago	IL	70013	INV-20250013	2025-02-09	2025-03-11	725.55	775.55	2025-03-01	Net 60	INR	2025-07-14
ACCT-10014	Delta Retail Group	TAX200014	FR	114 Market St	Suite 24	Dallas	WA	70014	INV-20250014	2025-02-12	2025-03-14	742.90	722.90	2025-03-04	EOM 30	GBP	2025-07-15
ACCT-10015	Crestline Pharma	TAX200015	AU	115 Market St	Suite 25	Boston	IL	70015	INV-20250015	2025-02-15	2025-03-17	760.25	730.25	2025-03-07	Net 30	SGD	2025-07-16
ACCT-10016	Ionis Manufacturing	TAX200016	SG	116 Market St	Suite 26	Dallas	GA	70016	INV-20250016	2025-02-18	2025-03-20	777.60	777.60	2025-03-10	EOM 30	USD	2025-07-17
ACCT-10017	Granite Works	TAX200017	US	117 Market St	Suite 27	Chicago	IL	70017	INV-20250017	2025-02-21	2025-03-23	794.95	784.95	2025-03-13	EOM 30	USDX	2025-07-18
ACCT-10018	Ionis Manufacturing	TAX200018	DE	118 Market St	Suite 28	Miami	IL	70018	INV-20250018	2025-02-24	2025-03-26	812.30	792.30	2025-03-16	Net 60	SGD	2025-07-19
	Ionis Manufacturing	TAX200019	AU	119 Market St	Suite 29	Miami	FL	70019	INV-20250019	2025-02-27	2025-03-29	829.65	799.65	2025-03-19	Net 45	AUD	2025-07-20
ACCT-10020	Juniper Auto Parts	TAX200020	DE	120 Market St	Suite 30	Chicago	GA	70020	INV-20250020	2025-03-02	2025-04-01	847.00	847.00	2025-03-22	Net 45	GBP	2025-07-21
ACCT-10021	Granite Works	TAX200021	AU	121 Market St	Suite 31	Dallas	GA	70021	INV-20250021	2025-03-05	2025-04-04	864.35	854.35	2025-03-25	Net 45	SGD	2025-07-22
ACCT-10022	Juniper Auto Parts	TAX200022	NL	122 Market St	Suite 32	Seattle	CA	70022	INV-20250022	2025-03-08	2025-03-06	881.70	861.70	2025-03-28	Net 30	AUD	2025-07-23
ACCT-10023	Delta Retail Group	TAX200023	US	123 Market St	Suite 33	Atlanta	IL	70023	INV-20250023	2025-03-11	2025-04-10	899.05	869.05	2025-03-31	Net 45	USD	2025-07-24
ACCT-10024	Crestline Pharma	TAX200024	DE	124 Market St	Suite 34	Denver	MA	70024	INV-20250024	2025-03-14	2025-04-13	916.40	916.40	2025-04-03	Net 30	INR	2025-07-25
ACCT-10025	Delta Retail Group	TAX200025	NL	125 Market St	Suite 35	Seattle	TX	70025	INV-20250025	2025-03-17	2025-04-16	933.75	923.75	2025-04-06	Net 45	GBP	2025-07-26
ACCT-10026	BlueRiver Foods	TAX200026	NL	126 Market St	Suite 36	Dallas	FL	70026	INV-20250026	2025-03-20	2025-04-19	951.10	1001.10	2025-04-09	Net 60	EUR	2025-07-27
ACCT-10027	Futura Electronics	TAX200027	AU	127 Market St	Suite 37	Atlanta	MA	70027	INV-20250027	2025-03-23	2025-04-22	968.45	938.45	2025-04-12	Net 30	GBP	2025-07-28
ACCT-10028	EverPeak Logistics	TAX200028	SG	128 Market St	Suite 38	Chicago	MA	70028	INV-20250028	2025-03-26	2025-04-25	985.80	985.80	2025-04-15	EOM 30	USD	2025-07-29
ACCT-10029	Delta Retail Group	TAX200029	SG	129 Market St	Suite 39	Austin	TX	70029	INV-20250029	2025-03-29	2025-04-28	1003.15	993.15	2025-04-18	EOM 30	INR	2025-07-30
