debtor_no	corp_name	ein	iso_country	addr_1	addr_2	municipality	region	zipcode	reference_number	date_of_invoice	pay_by_date	invoice_amt	payment_amount	date_paid	terms	curr	exp_date
ACCT-10001	Apex Metals Ltd	TAX200001	GB	101 Market St	Suite 11	Seattle	WA	70001	INV-20250001	2025-01-04	2025-02-03	517.35	507.35	2025-01-24	Net 60	EUR	2025-07-02
ACCT-10002	Ionis Manufacturing	TAX200002	NL	102 Market St	Suite 12	Miami	FL	70002	INV-20250002	2025-01-07	2025-02-06	534.70	514.70	2025-01-27	EOM 30	AUD	2025-07-03
ACCT-10003	Futura Electronics	TAX200003	SG	103 Market St	Suite 13	Seattle	FL	70003	INV-20250003	2025-01-10	2025-02-09	552.05	522.05	2025-01-30	EOM 30	USD	2025-07-04
ACCT-10004	Granite Works	TAX200004	AU	104 Market St	Suite 14	Seattle	MA	70004	INV-20250004	2025-01-13	2025-02-12	569.40	569.40	2025-02-02	Net 45	EUR	2025-07-05
ACCT-10005	Delta Retail Group	TAX200005	IN	105 Market St	Suite 15	Dallas	WA	70005	INV-20250005	2025-01-16	2025-02-15	586.75	576.75	2025-02-05	EOM 30	AUD	2025-07-06
ACCT-10006	BlueRiver Foods	TAX200006	AU	106 Market St	Suite 16	Atlanta	TX	70006	INV-20250006	2025-01-19	2025-02-18	604.10	584.10	2025-02-08	Net 30	USD	2025-07-07
ACCT-10007	Delta Retail Group	TAX200007	US	107 Market St	Suite 17	Seattle	MA	70007	INV-20250007	2025-01-22	2025-02-21	621.45	591.45	2025-02-11	Net 45	EUR	2025-07-08
ACCT-10008	Crestline Pharma	TAX200008	SG	108 Market St	Suite 18	Dallas	CO	70008	INV-20250008	2025-01-25	2025-02-24	638.80	638.80	2025-02-14	Net 60	AUD	2025-07-09
ACCT-10009	Ionis Manufacturing	TAX200009	NL	109 Market St	Suite 19	Austin	GA	70009	INV-20250009	2025-01-28	2025-02-27	656.15	646.15	2025-02-17	Net 30	SGD	2025-07-10
ACCT-10010	BlueRiver Foods	TAX200010	AU	110 Market St	Suite 20	Denver	GA	70010	INV-20250010	2025-01-31	2025-03-02	673.50	653.50	2025-02-20	Net 45	SGD	2025-07-11
ACCT-10011	Horizon Textiles	TAX200011	SG	111 Market St	Suite 21	Chicago	GA	70011	INV-20250011	2025-02-03	2025-02-01	690.85	660.85	2025-02-23	Net 45	SGD	2025-07-12
ACCT-10012	Granite Works	TAX200012	IN	112 Market St	Suite 22	Boston	FL	70012	INV-20250012	2025-02-06	2025-03-08	708.20	708.20	2025-02-26	EOM 30	INR	2025-07-13
ACCT-10013	EverPeak Logistics	TAX200013	GB	113 Market St	Suite 23	Atlanta	FL	70013	INV-20250013	2025-02-09	2025-03-11	725.55	775.55	2025-03-01	Net 30	USD	2025-07-14
ACCT-10014	Horizon Textiles	TAX200014	NL	114 Market St	Suite 24	Seattle	WA	70014	INV-20250014	2025-02-12	2025-03-14	742.90	722.90	2025-03-04	Net 60	INR	2025-07-15
ACCT-10015	Delta Retail Group	TAX200015	US	115 Market St	Suite 25	Denver	FL	70015	INV-20250015	2025-02-15	2025-03-17	760.25	730.25	2025-03-07	Net 45	AUD	2025-07-16
